Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,Cases_28_Days,Deaths_28_Days
Slovakia,2022-04-09 09:20:32,48.669,19.699,2484354,19523,,,45712.70749949583,225955,676
Slovenia,2022-04-09 09:20:32,46.1512,14.9955,984838,6527,,,47372.30462564432,70411,131
Solomon Islands,2022-04-09 09:20:32,-9.6457,160.1562,12005,137,,,1838.8378483529343,3514,19
Somalia,2022-04-09 09:20:32,5.152149,46.199616,26471,1361,,,166.55530890249486,71,2
South Africa,2022-04-09 09:20:32,-30.5595,22.9375,3730066,100084,,,6289.240244557754,38104,375
South Sudan,2022-04-09 09:20:32,6.877000000000002,31.307,17333,138,,,154.8456282977728,282,0
Spain,2022-04-09 09:20:32,40.463667,-3.74922,11551574,102541,,,24706.72144922585,327600,1406
Sri Lanka,2022-04-09 09:20:32,7.873054,80.77179699999998,662505,16489,,,3093.902140030121,7122,108
Sudan,2022-04-09 09:20:32,12.8628,30.2176,61987,4907,,,141.36381612199742,332,42
Summer Olympics 2020,2022-04-09 09:20:32,35.6491,139.7737,865,0,,,,0,0
Suriname,2022-04-09 09:20:32,3.9193,-56.0278,79241,1325,,,13507.740771929346,501,5
Sweden,2022-04-09 09:20:32,60.1282,18.6435,2491980,18506,,,24674.85273688098,25403,708
Switzerland,2022-04-09 09:20:32,46.8182,8.2275,3528689,13607,,,40772.325248786256,455931,342
Syria,2022-04-09 09:20:32,34.802075,38.99681500000001,55735,3146,,,318.4737578709188,447,36
Taiwan*,2022-04-09 09:20:32,23.7,121.0,26836,853,,,112.67688425490014,5100,0
Tajikistan,2022-04-09 09:20:32,38.861,71.2761,17786,125,,,186.4821514584003,0,0
Tanzania,2022-04-09 09:20:32,-6.369028,34.888822,33815,800,,,56.60909937827422,89,0
Thailand,2022-04-09 09:20:32,15.870032,100.992541,3858346,25975,,,5527.718074638936,697105,2332
Timor-Leste,2022-04-09 09:20:32,-8.874217,125.727539,22842,130,,,1732.499419769698,58,1
Togo,2022-04-09 09:20:32,8.6195,0.8248,36955,272,,,446.3845149326522,107,0
Tonga,2022-04-09 09:20:32,-21.179,-175.1982,7931,9,,,7503.524224907044,6611,9
